taxonomy_degree	taxonomy	tax_study
class	Flabellinia	root:Environmental:1
class	Flavobacteriia	root:Control:1|root:Engineered:186|root:Environmental:1051|root:Host-associated:341|root:Mixed:16|root:NA:1
class	Florideophyceae	root:Environmental:9|root:Host-associated:6
class	Fragilariophyceae	root:Environmental:11
class	Fusobacteria	root:Host-associated:6|root:Control:1|root:Engineered:67|root:Environmental:75|root:Host-associated:541|root:Mixed:10
class	Fusobacteriia	root:Engineered:27|root:Environmental:28|root:Host-associated:305|root:Mixed:6
class	GN15	root:Environmental:1|root:Host-associated:1
class	GS18	root:Host-associated:1
class	GS35	root:Environmental:1
class	Gammaproteobacteria	root:Control:1|root:Engineered:440|root:Environmental:1809|root:Host-associated:1086|root:Mixed:33|root:NA:1
class	Gastropoda	root:Engineered:1|root:Environmental:20|root:Host-associated:1
class	Geminibasidiomycetes	root:Environmental:1|root:Host-associated:1
class	Gemm-1	root:Engineered:4|root:Environmental:27|root:Host-associated:4
class	Gemm-2	root:Engineered:1|root:Environmental:8|root:Host-associated:3
class	Gemm-3	root:Engineered:1|root:Environmental:4
class	Gemm-4	root:Environmental:3
class	Gemm-5	root:Engineered:1|root:Environmental:3
class	Gemmatimonadetes	root:Engineered:26|root:Environmental:266|root:Host-associated:51|root:Mixed:8|root:NA:1|root:Engineered:114|root:Environmental:708|root:Host-associated:178|root:Mixed:14|root:NA:1
class	Geoglossomycetes	root:Host-associated:1
class	Gitt-GS-136	root:Environmental:6
class	Glaucocystophyceae	root:Environmental:1
class	Gloeobacterophycideae	root:Environmental:1
class	Glomeromycetes	root:Environmental:2|root:Host-associated:4
class	Gregarinasina	root:Environmental:11|root:Host-associated:1
class	Gymnolaemata	root:Environmental:1|root:Host-associated:1
class	HDBW-WB69	root:Environmental:1
class	Hadesarchaea	root:Environmental:3
class	Halobacteria	root:Engineered:2|root:Environmental:69|root:Host-associated:1|root:Mixed:1
class	Haptophyta	root:Environmental:7
class	Heterotardigrada	root:Environmental:1
class	Heterotrichea	root:Environmental:4
class	Hexanauplia	root:Environmental:17|root:Host-associated:1
class	Holophagae	root:Engineered:5|root:Environmental:26|root:Host-associated:3
class	Holothuroidea	root:Environmental:1
class	Hydrogenophilalia	root:Engineered:19|root:Environmental:9|root:Host-associated:1
class	Hydrozoa	root:Environmental:68|root:Host-associated:3
class	Hyphochytriomycetes	root:Environmental:2
class	IIB17	root:Environmental:2|root:Host-associated:1
class	Ichthyosporea	root:Environmental:1|root:Host-associated:1
class	Ignavibacteria	root:Engineered:21|root:Environmental:76|root:Host-associated:4|root:Mixed:2
class	Incertae sedis	root:Environmental:1|root:Host-associated:2|root:Environmental:1|root:Host-associated:3|root:Environmental:1|root:Host-associated:2
class	Insecta	root:Engineered:5|root:Environmental:25|root:Host-associated:24|root:Mixed:1
class	JG37-AG-4	root:Environmental:7|root:Host-associated:1
class	JS1	root:Engineered:2|root:Environmental:2
class	Jungermanniopsida	root:Host-associated:1
class	KB1	root:Environmental:1
class	Karyorelictea	root:Environmental:2
class	Katablepharidophyta	root:Environmental:7
class	Kickxellomycetes	root:Host-associated:2
class	Kiritimatiellae	root:Engineered:1|root:Environmental:30|root:Host-associated:49
class	Ktedonobacteria	root:Engineered:1|root:Environmental:29|root:Host-associated:7|root:Mixed:2
class	Labyrinthulomycetes	root:Environmental:27|root:Host-associated:1
class	Lecanoromycetes	root:Environmental:6|root:Host-associated:6
class	Lentisphaeria	root:Engineered:2|root:Environmental:9|root:Host-associated:11|root:Mixed:1
class	Leotiomycetes	root:Environmental:12|root:Host-associated:15
class	Liliopsida	root:Engineered:25|root:Environmental:15|root:Host-associated:77
class	Limnochordia	root:Engineered:1
class	Litostomatea	root:Environmental:31|root:Host-associated:13
class	Longimicrobia	root:Environmental:1
class	Lycopodiopsida	root:Engineered:2
class	MB-A2-108	root:Environmental:16
class	MBGA	root:Environmental:12|root:Host-associated:1
class	MBGB	root:Engineered:1|root:Environmental:7
class	MCG	root:Engineered:3|root:Environmental:32|root:Host-associated:3
class	MHVG	root:Engineered:1|root:Environmental:2
class	ML635J-21	root:Engineered:3|root:Environmental:4|root:Host-associated:4
class	MSBL6	root:Environmental:1
class	MVP-15	root:Environmental:1
class	Magnoliopsida	root:Engineered:5|root:Environmental:16|root:Host-associated:20|root:Mixed:1
class	Malacostraca	root:Environmental:16|root:Host-associated:1
class	Malasseziomycetes	root:Engineered:2|root:Environmental:10|root:Host-associated:12|root:Mixed:3
class	Mamiellophyceae	root:Environmental:69
class	Mammalia	root:Engineered:1|root:Environmental:4|root:Host-associated:8
class	Maxillopoda	root:Engineered:2|root:Environmental:204|root:Host-associated:3
class	Mediophyceae	root:Environmental:16
class	Methanobacteria	root:Engineered:59|root:Environmental:48|root:Host-associated:77|root:Mixed:1
class	Methanococci	root:Engineered:3|root:Environmental:23
class	Methanomicrobia	root:Engineered:131|root:Environmental:180|root:Host-associated:30|root:Mixed:2
class	Methanopyri	root:Environmental:2|root:Host-associated:1
class	Methylacidiphilae	root:Environmental:4
class	Microbotryomycetes	root:Engineered:10|root:Environmental:11|root:Host-associated:10
class	Mollicutes	root:Engineered:60|root:Environmental:41|root:Host-associated:283|root:Mixed:3
class	Monocotyledonae	root:Environmental:1
class	Monogononta	root:Environmental:6
class	Mortierellomycetes	root:Environmental:6|root:Host-associated:3
class	Mucoromycetes	root:Engineered:1
class	Mucoromycotina cls Incertae sedis	root:Environmental:1|root:Host-associated:1
class	NPL-UPA2	root:Environmental:1|root:Host-associated:1
class	Nanohaloarchaea	root:Environmental:5
class	Nassophorea	root:Environmental:5
class	Negativicutes	root:Engineered:40|root:Environmental:24|root:Host-associated:497|root:Mixed:9
class	Nemertodermatida	root:Engineered:2|root:Host-associated:7|root:Mixed:1
class	Neocallimastigomycetes	root:Host-associated:3
class	Neolectomycetes	root:Host-associated:2
class	Nephroselmidophyceae	root:Environmental:1
class	Nitriliruptoria	root:Engineered:2|root:Environmental:18|root:Host-associated:1
class	Nitrososphaeria	root:Engineered:3|root:Environmental:62|root:Host-associated:10
class	Nitrospinia	root:Engineered:1|root:Environmental:112|root:Host-associated:3|root:NA:1
class	Nitrospira	root:Engineered:35|root:Environmental:140|root:Host-associated:22|root:Mixed:2|root:Engineered:30|root:Environmental:67|root:Host-associated:14
class	Nostocophycideae	root:Environmental:19|root:Host-associated:2
class	Nuda	root:Environmental:1
class	OM190	root:Environmental:5|root:Host-associated:1
class	OP11-1	root:Engineered:1
class	OP11-4	root:Environmental:2
class	OP8 1	root:Engineered:3|root:Environmental:5
class	OPB14	root:Environmental:1
class	OPB41	root:Engineered:2|root:Environmental:2
class	OPB46	root:Engineered:4|root:Environmental:1
class	OPB54	root:Engineered:5|root:Engineered:7|root:Environmental:3|root:Host-associated:1
class	OPB56	root:Engineered:2|root:Environmental:2
class	OS-K	root:Engineered:1|root:Environmental:1
class	OS-L	root:Environmental:1
class	Oligoflexia	root:Engineered:5|root:Environmental:70|root:Host-associated:12|root:Mixed:1
class	Oligohymenophorea	root:Engineered:5|root:Environmental:27|root:Mixed:1
class	Oligosphaeria	root:Environmental:5
class	Oomycetes	root:Engineered:7|root:Environmental:7|root:Host-associated:5
class	Ophiuroidea	root:Engineered:1
class	Opitutae	root:Engineered:14|root:Environmental:186|root:Host-associated:14
class	Orbiliomycetes	root:Engineered:1|root:Environmental:1|root:Host-associated:2
class	Oscillatoriophycideae	root:Engineered:3|root:Environmental:22|root:Host-associated:4
class	Ostracoda	root:Environmental:13
class	PRR-11	root:Environmental:2
class	PRR-12	root:Engineered:2|root:Environmental:4|root:Host-associated:3
class	Palaeonemertea	root:Environmental:1
class	Pedinophyceae	root:Environmental:2
class	Pelagophyceae	root:Environmental:27
class	Pezizomycetes	root:Environmental:3|root:Host-associated:6
